Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Itamar Medical",="https://finder.startupnationcentral.org/company_page/itamar-medical",="Home Sleep Testing and Endothelial Function Assessment ",="Life Sciences & HealthTech",="1997",="201-500",="Mature",
="Waze",="https://finder.startupnationcentral.org/company_page/waze",="Community-based Traffic and Navigation App",="Smart Mobility",="2007",="500+",="Acquired",
="BeeHero",="https://finder.startupnationcentral.org/company_page/beehero",="Precision Pollination as a Service",="Yield Optimization & Harvest",="2017",="51-200",="B",
="Nanox Vision",="https://finder.startupnationcentral.org/company_page/nanox-vision",="Medical Imaging Technology and Solutions",="Life Sciences & HealthTech",="2018",="51-200",="Public",
="monday.com",="https://finder.startupnationcentral.org/company_page/dapulse",="Work Management Platform for Teams","Enterprise, IT & Data Infrastructure",="2012",="500+",="Public",
="MineOS",="https://finder.startupnationcentral.org/company_page/mineos",="Data Privacy Platform",="Security Technologies",="2018",="11-50",="A",
="AI21 Labs",="https://finder.startupnationcentral.org/company_page/ai211",="AI-based Writing Solution","Enterprise, IT & Data Infrastructure",="2017",="51-200",="C",
="H2Pro",="https://finder.startupnationcentral.org/company_page/h2pro",="Hydrogen Fuel Production Technology",="Energy-tech",="2019",="51-200",="B",
="NitroFix",="https://finder.startupnationcentral.org/company_page/nitrofix",="Generating Zero-carbon Emissions Ammonia",="Energy-tech",="2022",="1-10",="Seed",
="Carbon Twist",="https://finder.startupnationcentral.org/company_page/carbon-twist",="Methane Removal",="Industrial Technologies",="2023",="1-10",="Seed",
="Astria",="https://finder.startupnationcentral.org/company_page/astria",="AI Image Generator",="Content & Media",="2022",="1-10",="Pre-Funding",
="Hyro",="https://finder.startupnationcentral.org/company_page/airbud-technologies",="Plug-and-play Conversational AI and Natural Language Automation",="Retail & Marketing",="2018",="51-200",="B",
="Tomorrow.io",="https://finder.startupnationcentral.org/company_page/tomorrow-io",="AI-powered Weather Intelligence Platform","Enterprise, IT & Data Infrastructure",="2016",="201-500",="E",
="Lemonade",="https://finder.startupnationcentral.org/company_page/lemonade",="AI-driven Insurance Provider",="FinTech",="2015",="500+",="Public",
